name,trainer,Analytic_W1,Independent_W1,Determined_W1,Professional_W1,Studious_W1,Imaginative_W1,Analytic_W2,Independent_W2,Determined_W2,Professional_W2,Studious_W2,Imaginative_W2,Analytic_W3,Independent_W3,Determined_W3,Professional_W3,Studious_W3,Imaginative_W3,Analytic_W4,Independent_W4,Determined_W4,Professional_W4,Studious_W4,Imaginative_W4,Analytic_W5,Independent_W5,Determined_W5,Professional_W5,Studious_W5,Imaginative_W5,Analytic_W6,Independent_W6,Determined_W6,Professional_W6,Studious_W6,Imaginative_W6,Analytic_W7,Independent_W7,Determined_W7,Professional_W7,Studious_W7,Imaginative_W7,Analytic_W8,Independent_W8,Determined_W8,Professional_W8,Studious_W8,Imaginative_W8
Sanford Larking,Rachel Richard,3,2,3,4,2,1,2,2,4,3,1,1,4,5,3,1,3,3,3,6,8,5,8,5,8,4,4,5,8,8,6,8,5,3,7,8,8,8,8,8,8,4,8,8,8,8,8,8
Ulrika Lemerie,Rachel Richard,6,1,3,1,2,2,2,3,4,2,2,3,3,5,2,3,3,1,1,5,7,8,4,8,2,3,8,8,1,8,7,2,6,4,6,3,8,7,4,8,8,8,8,8,8,6,6,4
Alidia Govett,Rachel Richard,3,5,7,3,3,3,3,4,6,1,2,2,2,2,3,3,1,3,6,7,3,5,6,7,3,7,7,5,6,8,5,4,5,7,6,5,4,8,4,8,8,8,8,8,4,8,8,8
Angel Matteau,Rachel Richard,4,3,1,2,4,4,4,7,2,7,2,2,4,2,4,3,3,3,5,8,6,7,8,4,7,8,5,5,4,5,7,7,3,7,8,7,8,8,3,7,8,5,5,8,8,8,6,8
Wolfie Showers,Rachel Richard,1,7,1,4,2,4,3,5,8,2,4,2,1,2,4,2,8,2,2,7,5,6,5,3,5,6,6,3,8,2,6,7,8,6,6,5,8,8,8,8,8,8,8,8,3,6,6,8
Nicolea Gibbins,Rachel Richard,1,2,3,2,4,3,4,5,5,2,5,1,4,1,2,1,3,2,5,7,4,5,3,6,4,4,8,4,5,7,4,5,8,6,8,5,8,6,6,8,8,8,8,8,8,8,8,8
Florina Sudlow,Rachel Richard,7,4,3,3,1,4,4,2,4,2,2,3,6,2,3,4,3,3,5,8,2,7,5,5,8,5,8,6,6,6,5,8,7,8,6,8,7,8,8,8,5,8,7,8,8,8,7,7
Dianna Brewett,Rachel Richard,8,1,2,5,2,2,4,6,3,2,2,1,1,2,4,8,4,1,5,8,7,6,3,5,4,5,4,4,6,8,7,8,3,3,8,6,6,6,8,8,8,6,8,8,7,7,8,5
Megan Hallihan,Rachel Richard,1,1,1,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherlocke Baselio,Rachel Richard,2,5,3,4,5,2,3,7,6,2,1,2,1,3,6,3,1,4,8,5,4,3,2,8,8,6,4,4,5,6,8,5,7,5,6,7,7,8,8,7,8,8,7,8,8,8,8,8
Keen Tripony,Rachel Richard,5,1,3,1,3,6,3,2,2,1,4,5,4,4,2,2,5,1,4,4,5,5,7,4,5,6,8,7,7,7,8,7,8,6,8,4,8,8,8,8,8,8,8,3,8,8,8,8
Collete Causbey,Rachel Richard,1,7,3,2,3,3,4,1,6,5,2,3,2,4,3,3,2,1,3,6,8,3,8,8,4,2,6,4,8,5,6,8,8,6,3,3,8,8,8,3,8,7,5,8,8,8,8,6
