name,trainer,Analytic_W1,Independent_W1,Determined_W1,Professional_W1,Studious_W1,Imaginative_W1,Analytic_W2,Independent_W2,Determined_W2,Professional_W2,Studious_W2,Imaginative_W2,Analytic_W3,Independent_W3,Determined_W3,Professional_W3,Studious_W3,Imaginative_W3,Analytic_W4,Independent_W4,Determined_W4,Professional_W4,Studious_W4,Imaginative_W4,Analytic_W5,Independent_W5,Determined_W5,Professional_W5,Studious_W5,Imaginative_W5,Analytic_W6,Independent_W6,Determined_W6,Professional_W6,Studious_W6,Imaginative_W6,Analytic_W7,Independent_W7,Determined_W7,Professional_W7,Studious_W7,Imaginative_W7,Analytic_W8,Independent_W8,Determined_W8,Professional_W8,Studious_W8,Imaginative_W8
Gerianne Bagge,Macey Broughton,2,2,4,4,2,3,4,1,6,2,5,2,3,7,2,1,2,1,8,6,7,4,8,4,4,3,6,7,6,8,8,6,8,5,8,8,8,8,8,3,8,8,8,8,8,8,8,8
William Tomlett,Macey Broughton,6,3,6,2,3,7,1,1,5,2,4,4,3,2,4,2,1,2,4,8,4,2,7,5,3,4,7,4,8,6,7,1,5,8,3,8,8,8,8,8,8,8,8,8,8,8,8,6
Teddie Kemet,Macey Broughton,2,5,3,2,5,1,2,1,2,3,7,3,3,5,3,5,2,1,8,8,6,7,1,8,3,3,7,6,6,7,6,5,7,5,3,5,8,5,8,8,8,8,8,8,8,5,8,8
Artur Domaschke,Macey Broughton,3,3,1,1,2,5,1,4,2,1,1,3,1,4,3,4,3,2,6,5,8,6,8,5,5,5,8,5,2,8,5,6,5,7,5,2,8,8,8,8,7,7,7,8,7,8,8,5
Terrie Mackibbon,Macey Broughton,4,2,6,2,3,5,1,3,5,6,1,2,5,5,2,1,6,2,6,8,6,6,6,8,6,8,4,8,3,6,6,8,8,3,5,4,8,8,8,8,6,7,7,8,8,5,3,8
Ignacius Pleasaunce,Macey Broughton,2,3,5,1,1,3,5,4,2,2,2,2,2,2,2,3,5,3,4,8,6,7,6,5,8,7,8,8,5,4,8,6,8,6,6,2,8,8,6,8,8,4,4,8,8,4,8,7
Liane Lorente,Macey Broughton,6,3,4,1,2,4,4,1,1,3,2,2,2,1,6,3,3,1,8,2,6,5,8,8,6,6,6,8,3,5,8,7,3,3,8,6,8,8,8,8,8,8,6,3,4,8,8,8
Sosanna Rawlings,Macey Broughton,1,6,3,3,4,4,4,4,6,2,6,3,1,3,1,3,3,4,3,2,8,7,5,4,8,6,7,8,8,6,8,8,8,3,1,8,8,7,8,8,6,6,6,8,8,7,8,8
Allistir Langrick,Macey Broughton,6,2,6,1,4,2,3,2,2,1,4,2,4,2,1,3,5,4,5,2,4,2,4,7,3,2,4,7,3,6,7,4,4,2,1,6,8,8,8,8,8,8,8,8,8,8,8,6
Honor Huntall,Macey Broughton,3,5,1,5,1,2,5,1,3,3,3,5,1,4,3,2,2,1,4,8,5,7,5,8,3,8,4,2,8,8,4,5,8,4,5,6,5,8,5,8,7,8,8,7,8,8,8,5
Natassia Pawle,Macey Broughton,2,3,4,1,1,3,4,3,3,2,1,4,3,4,2,3,4,1,8,7,6,7,6,8,7,8,7,6,4,8,4,7,4,8,3,7,8,4,5,5,6,8,8,7,7,8,8,8
Haywood Teager,Macey Broughton,3,5,3,3,1,8,4,2,3,1,6,2,6,4,2,3,5,3,7,3,6,6,7,3,1,2,3,7,4,8,7,5,6,7,8,8,8,8,7,5,7,8,8,8,8,8,8,8
Marillin Rosendall,Macey Broughton,4,2,3,1,3,3,5,2,2,2,2,1,2,5,2,1,8,3,6,7,7,5,7,6,8,5,5,2,6,8,2,7,6,6,7,4,6,8,8,7,8,8,8,8,6,8,5,8
