Date,Academy,FirstName,LastName,Psychometrics,Presentation
2019-08-01,Birmingham Academy,Hilary,Willmore,0.51,0.59375
2019-08-01,Birmingham Academy,Orly,Lorens,0.51,0.59375
2019-08-01,Birmingham Academy,Alvie,Bleackly,0.55,0.5
2019-08-01,Birmingham Academy,Deck,Itzchaki,0.59,0.65625
2019-08-01,Birmingham Academy,Wilt,Penritt,0.66,0.78125
2019-08-01,Birmingham Academy,Gianna,Clevely,0.61,0.5
2019-08-01,Birmingham Academy,Yvor,Phalip,0.59,0.5625
2019-08-01,Birmingham Academy,Marielle,Knivett,0.52,0.5625
2019-08-01,Birmingham Academy,Florri,Loughton,0.63,0.875
2019-08-01,Birmingham Academy,Walden,Gidden,0.49,0.78125
2019-08-01,Birmingham Academy,Ingunna,Adin,0.6,0.625
2019-08-01,Birmingham Academy,Janaya,Mawford,0.52,0.5625
2019-08-01,Birmingham Academy,Cornall,Offer,0.56,0.8125
2019-08-01,Birmingham Academy,Brnaby,Bownes,0.59,0.8125
2019-08-01,Birmingham Academy,Sherline,Cudihy,0.52,0.5
2019-08-01,Birmingham Academy,Anallise,Scathard,0.62,0.40625
2019-08-01,Birmingham Academy,Benson,Labuschagne,0.64,0.40625
2019-08-01,Birmingham Academy,Norene,Fierro,0.58,0.6875
2019-08-01,Birmingham Academy,Woody,Newling,0.49,0.65625
2019-08-01,Birmingham Academy,Anna,Bownes,0.45,0.625
2019-08-01,Birmingham Academy,Lorine,Bignall,0.59,0.53125
2019-08-01,Birmingham Academy,Deirdre,Van Den Velde,0.55,0.59375
2019-08-01,Birmingham Academy,Ruthe,Adolthine,0.63,0.53125
2019-08-01,Birmingham Academy,Star,Jurges,0.54,0.6875
2019-08-01,Birmingham Academy,Stan,Forkan,0.56,0.625
2019-08-01,Birmingham Academy,Jodie,Kaygill,0.53,0.53125
2019-08-01,Birmingham Academy,Tim,Hush,0.4,0.6875
2019-08-01,Birmingham Academy,Delinda,Conybear,0.54,0.5625
2019-08-01,Birmingham Academy,Reagen,Pudge,0.6,0.4375
2019-08-01,Birmingham Academy,Matteo,Yeowell,0.57,0.5625
2019-08-01,Birmingham Academy,Maye,Targetter,0.45,0.59375
2019-08-01,Birmingham Academy,Carlos,Gerckens,0.56,0.59375
2019-08-01,Birmingham Academy,Nevil,Vidyapin,0.44,0.6875
2019-08-01,Birmingham Academy,Blake,Nunson,0.64,0.5625
2019-08-01,Birmingham Academy,Ross,Beevors,0.48,0.78125
2019-08-01,Birmingham Academy,Sid,Libbie,0.59,0.875
2019-05-01,London Academy,Loree,Hinkens,0.54,0.5
2019-05-01,London Academy,Micheil,Rotlauf,0.66,0.46875
2019-05-01,London Academy,Berkeley,Bothe,0.43,0.78125
2019-05-01,London Academy,Klarika,Mcconigal,0.48,0.6875
2019-05-01,London Academy,Retha,Dunnico,0.6,0.625
2019-05-01,London Academy,Nance,Tothe,0.51,0.46875
2019-05-01,London Academy,Donica,Andreas,0.59,0.5625
2019-05-01,London Academy,Stavros,Petticrow,0.52,0.375
2019-05-01,London Academy,Janet,Mulqueeny,0.42,0.59375
2019-05-01,London Academy,Cassius,Hollibone,0.69,0.5625
2019-05-01,London Academy,Mellicent,Desaur,0.67,0.5625
2019-05-01,London Academy,Kamila,Silversmidt,0.53,0.5
2019-05-01,London Academy,Bernadine,Sinkin,0.6,0.53125
2019-05-01,London Academy,William,Dryden,0.63,0.71875
2019-05-01,London Academy,Matthias,Burns,0.53,0.6875
2019-05-01,London Academy,Maxwell,Wyer,0.5,0.65625
2019-05-01,London Academy,Miguela,Quantrill,0.6,0.65625
2019-05-01,London Academy,Juliet,Scottrell,0.55,0.5
2019-05-01,London Academy,Gannie,Barehead,0.46,0.59375
2019-05-01,London Academy,Siouxie,Tunstall,0.57,0.71875
2019-05-01,London Academy,Keenan,Stubbes,0.5,0.65625
2019-05-01,London Academy,Verney,Skehan,0.58,0.46875
2019-05-01,London Academy,Bernice,Niblett,0.52,0.5
2019-05-01,London Academy,Susie,Ciccoloi,0.65,0.65625
2019-05-01,London Academy,Corney,Kolinsky,0.5,0.71875
2019-05-01,London Academy,Benson,Syncke,0.57,0.5625
2019-05-01,London Academy,Halsey,Broader,0.67,0.8125
2019-10-01,London Academy,Konstantine,Giacomoni,0.48,0.75
2019-10-01,London Academy,Carmelle,Jado,0.54,0.6875
2019-10-01,London Academy,Eward,Stanyard,0.48,0.625
2019-10-01,London Academy,Edgardo,Lidyard,0.49,0.75
2019-10-01,London Academy,Claudia,May,0.53,0.5625
2019-10-01,London Academy,Ginevra,Kops,0.52,0.65625
2019-10-01,London Academy,Lambert,Fortnon,0.57,0.6875
2019-10-01,London Academy,Far,Lubeck,0.52,0.5625
2019-10-01,London Academy,Joann,Aspinwall,0.59,0.46875
2019-10-01,London Academy,Sallyann,Jacobi,0.6,0.46875
2019-10-01,London Academy,Agustin,Boog,0.55,0.65625
2019-10-01,London Academy,Fiann,Parmeter,0.52,0.71875
2019-10-01,London Academy,Linette,Gilhoolie,0.55,0.59375
2019-10-01,London Academy,Pearla,Durtnell,0.55,0.65625
2019-10-01,London Academy,Candie,Senner,0.59,0.75
2019-10-01,London Academy,Mychal,Bachelar,0.47,0.75
2019-04-10,London Academy,Esme,Trusslove,0.39,0.71875
2019-04-10,London Academy,Tiler,Andrejevic,0.55,0.65625
2019-04-10,London Academy,Ester,Foldes,0.48,0.71875
2019-04-10,London Academy,Mile,O'Brien,0.5,0.75
2019-04-10,London Academy,Sheeree,Collop,0.66,0.59375
2019-04-10,London Academy,Libbie,Pluck,0.51,0.59375
2019-04-10,London Academy,Gusty,Beevens,0.42,0.6875
2019-04-10,London Academy,Lon,Gillimgham,0.56,0.5625
2019-04-10,London Academy,Hogan,Bushnell,0.65,0.6875
2019-04-10,London Academy,Tiffany,Gronaller,0.54,0.75
2019-04-10,London Academy,Chilton,Niece,0.62,0.6875
2019-04-10,London Academy,Eda,Banner,0.72,0.625
2019-04-10,London Academy,Donalt,Savary,0.48,0.5625
2019-04-10,London Academy,Oralle,Kose,0.5,0.6875
2019-04-10,London Academy,Vernor,Farrance,0.55,0.6875
2019-04-10,London Academy,Salvidor,Cully,0.53,0.5625
2019-04-10,London Academy,Ninette,Borrel,0.49,0.34375
2019-04-10,London Academy,Todd,Kohnert,0.58,0.75
2019-04-10,London Academy,Gunter,Marzellano,0.63,0.71875
2019-04-10,London Academy,Enrique,Garside,0.57,0.59375
2019-04-10,London Academy,Hilda,Winkett,0.69,0.78125
2019-04-10,London Academy,Giles,De Angelis,0.52,0.71875
2019-04-10,London Academy,Kala,Franzini,0.48,0.8125
2019-04-10,London Academy,Davey,Mcdowell,0.52,0.75
2019-04-10,London Academy,Mickey,Lamport,0.56,0.5625
2019-04-10,London Academy,Myrna,Bonafant,0.51,0.71875
2019-04-10,London Academy,Monty,Hillam,0.47,0.34375
2019-04-10,London Academy,Luke,Able,0.51,0.6875
2019-04-10,London Academy,Phillis,Lyfield,0.55,0.71875
2019-12-10,London Academy,Candy,Berends,0.66,0.46875
2019-12-10,London Academy,Adolpho,Litterick,0.63,0.53125
2019-12-10,London Academy,Rockey,Courtes,0.53,0.65625
2019-12-10,London Academy,Salmon,Glenfield,0.52,0.65625
2019-12-10,London Academy,Jena,Livings,0.62,0.65625
2019-12-10,London Academy,Kaitlyn,Chagg,0.53,0.5625
2019-12-10,London Academy,Steffane,Laity,0.62,0.78125
2019-12-10,London Academy,Harrie,Chatin,0.69,0.6875
